latitude,longitude
52.1096966,5.1384051
52.102462,5.1360208
52.1045632,5.1180142
52.1028737,5.1408319
52.1007014,5.1202954
52.1047652,5.137042
52.102812,5.1304758
52.0968165,5.1197236
52.121269,5.0922321
52.1014787,5.1337196
52.0754689,5.1276522
52.0654164,5.1409166
52.1010774,5.0396846
52.0680802,5.1376019
52.0636644,5.1373055
52.1195155,5.0936459
52.1237841,5.1022001
52.1171527,5.0969355
52.1146392,5.1227244
52.1154231,5.122394
52.1143096,5.135028
52.1234455,5.0935359
52.11423,5.1280573
52.1201488,5.1127505
52.0884019,5.0530426
52.0994082,5.0349334
52.1001267,5.0598034
52.0875353,5.0561436
52.0991377,5.050494
52.0903037,5.0599384
52.1039651,5.0434084
52.0839586,5.0505082
52.0942848,5.0582817
52.0946687,5.0577054
52.0899631,5.0636285
52.0854625,5.1196039
52.0919223,5.1229898
52.0864905,5.1267134
52.0948562,5.120999
52.0952734,5.125799
52.0947809,5.1135252
52.0862903,5.1253558
52.1079942,5.0994538
52.0975896,5.1088517
52.1030975,5.1004786
52.1201732,5.0760663
52.0802438,5.1381074
52.0855492,5.1440614
52.078543,5.1300258
52.0725626,5.1488129
52.0990032,5.1420219
52.084281,5.1366545
52.0840362,5.1355934
52.0855102,5.1470843
52.0805628,5.0868270491201
52.0807955,5.085951
52.095724,5.0957178
52.0911368,5.0885934
52.0679373,5.1053899
52.0741755,5.1008483
52.0786967,5.0973025
52.0798979,5.0890187
52.0754372,5.0966867
52.0741379,5.1161487
52.0786366,5.1142927
52.1100102,5.0953374
52.0845865,5.1249119
52.0863121,5.1243503
52.065169,5.1434844
52.0649342,5.1439584
52.102702,5.0585131
52.101633,5.099927
52.092251,5.1231575
52.1154556,5.1071345
52.0757619,5.0903866
52.1067478,5.1349945
52.1061193,5.1248498
52.1038309,5.1314987
52.1016719,5.1343173
52.1054586,5.1203908
52.09964,5.1221188
52.0954815,5.1316717
52.0802024,5.1156058
52.0787797,5.1141626
52.0758473,5.1159124
