OBJECTID;NAME;ITEM_NUMBER;TYPE_STATION;CLASS_STATION;TYPE_DISTRIBUTIE;YEAR_OF_CONSTRUCTION;EIGENAAR;STATUS_KAST;POSITIONDETERMINATION;ROAD;HOUSE_NUMBER;ADDRESS;LEVERANCIER;DATE_MODIFIED;BEHEERDER_OMS;FABRIKAAT;NAAM;NADERE_ADRES_AAND;POSTCODE;TOEGANGS_AANDUIDING_TEKST;WOONPLAATS;X;Y;LONG;LAT
24;F128;F128;Station;Station 10/0,4 kV/OV;Zelfbouw;1952-07-01;Stedin;In bedrijf;;LN V CLINGENDAEL;7;;ENECO;2012-01-25;Stedin;ENECO;;Openbare weg;2597CA;10;S GRAVENHAGE;82917.59250000119;456812.795000002;4.335288769568148;52.09486865123507
73;R120;R120;Station;Station 10/0,4 kV/OV;Zelfbouw;1959-07-01;Stedin;In bedrijf;;DENENBURG  ;118;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2592BZ;10;S GRAVENHAGE;84309.8055000007;456242.362500001;4.355720727776698;52.089921821635514
347;H232;H232;Station;Station 10/0,4 kV/OV;Onbekend;1956-07-01;Stedin;In bedrijf;;ZWAARDVEGERSGAARD;30;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2542TE;10;S GRAVENHAGE;78380.3520000018;450764.59400000103;4.270444892946148;52.03990599907258
366;H203;H203;Station;Station 10/0,4 kV/OV;Niet van toepassing;2006-02-20;Stedin;In bedrijf;;DIEVERSTRAAT;36 ;;Inpandig;2012-01-26;Stedin;Inpandig;;Openbare weg;2545TV;20;S GRAVENHAGE;78387.2474999987;451568.616;4.270365170286729;52.047132459932854
542;H211;H211;Station;Station 10/0,4 kV/OV;Zelfbouw;1958-07-01;Stedin;In bedrijf;;RIETVEEN;83;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2544RS;10;S GRAVENHAGE;76979.1160000004;450826.339499999;4.250011107698966;52.04026545515643
544;H220;H220;Station;Station 10/0,4 kV/OV;Onbekend;1956-07-01;Stedin;In bedrijf;;LANGESTEDE;4;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2543VG;10;S GRAVENHAGE;77813.2454999983;450885.195;4.2621534059601;52.0409111351284
521;D710 Station;D710;Station;Station 10/0,4 kV/OV;Niet van toepassing;1969-07-01;Onbekend;In bedrijf;;THORBECKELN;360;;Inpandig;2015-12-17;Stedin;Inpandig;KANTOREN EN WINKELS;Openbare weg;2564BZ;10;S GRAVENHAGE;76784.27950000021;453776.577;4.246496376779233;52.066750696493834
523;D502 Station;D502;Station;Station 10/0,4 kV/OV;Zelfbouw;1962-07-01;Onbekend;In bedrijf;;MGR NOLENSLN;1;;ENECO;2015-12-17;Stedin;ENECO;PTT ING. DONKER CURTIUSST;Openbare weg;2555XX;10;S GRAVENHAGE;76974.59800000119;453579.140500002;4.249316599150737;52.0650032490463
574;D830 Station;D830;Station;Station 10/0,4 kV/OV;Niet van toepassing;1968-07-01;Stedin;In bedrijf;;BURG HOVYLN;78;;Inpandig;2015-12-17;Stedin;Inpandig;STABILIX B.V.;Openbare weg;2552AZ;10;S GRAVENHAGE;76772.1154999994;452236.919;4.246671670672499;52.05291265546011
586;D629 Station;D629;Station;Station 10/0,4 kV/OV;Niet van toepassing;1984-07-01;Onbekend;In bedrijf;;MOZARTLN;280;;Inpandig;2015-12-17;Stedin;Inpandig;VERZ. TEHUIS TABITHA;Openbare weg;2555KZ;20;S GRAVENHAGE;75616.8115000017;453031.5495;4.229646392923373;52.05988938180081
547;H207;H207;Station;Station 10/0,4 kV/OV;Onbekend;1958-07-01;Stedin;In bedrijf;;ZONNEOORD;249;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2544KE;10;S GRAVENHAGE;77439.8969999999;450999.442000002;4.256686686259195;52.04188572740482
25;F129;F129;Station;Station 10/0,4 kV/OV;Zelfbouw;1953-07-01;Stedin;In bedrijf;;MANKESSTR;24;;ENECO;2012-01-25;Stedin;ENECO;;Openbare weg;2597CN;10;S GRAVENHAGE;82740.2395000011;456850.502;4.332693044385456;52.09518439100593
29;F130;F130;Station;Station 10/0,4 kV/OV;Zelfbouw;1952-07-01;Stedin;In bedrijf;;HANEDOESSTR;30;;ENECO;2012-01-25;Stedin;ENECO;;Openbare weg;2597XG;10;S GRAVENHAGE;82948.9774999991;456979.6395;4.3357114408388195;52.09637213362132
